x,alpha,rho,p,sd11,sd12,sd13,sd21,sd22,sd23,sd31,sd32,sd33,rho_mix,p_mix,te_mix,s11,s12,vx,vy,v_mix,amr,xi
0.0375,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0385,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0395,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0405,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0415,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0425,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0435,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0445,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0455,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0465,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0475,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0485,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0495,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0505,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0515,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0525,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0535,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0545,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0555,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0565,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0575,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0585,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0595,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0605,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0615,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0625,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0635,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0645,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0655,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0665,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0675,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0685,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0695,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0705,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0715,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0725,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0735,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0745,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0755,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0765,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0775,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0785,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0795,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0805,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0815,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0825,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0835,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0845,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0855,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0865,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0875,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0885,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0895,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0905,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0915,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0925,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0935,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0945,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0955,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0965,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0975,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0985,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.0995,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
0.1005,1,2700,1.00E+07,1,0,0,0,1,0,0,0,1,2700,1.00E+07,1.13E+07,-1.00E+07,0,0,0,0,0,0
