  x  rho  u  p 
  5.000000000000000E-004   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  1.500000000000000E-003   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  2.500000000000000E-003   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  3.500000000000000E-003   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  4.500000000000001E-003   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  5.500000000000000E-003   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  6.500000000000001E-003   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  7.500000000000000E-003   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  8.500000000000001E-003   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  9.500000000000001E-003   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  1.050000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  1.150000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  1.250000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  1.350000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  1.450000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  1.550000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  1.650000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  1.750000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  1.850000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  1.950000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  2.050000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  2.150000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  2.250000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  2.350000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  2.450000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  2.550000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  2.650000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  2.750000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  2.850000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  2.950000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  3.050000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  3.150000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  3.250000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  3.350000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  3.450000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  3.550000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  3.650000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  3.750000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  3.850000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  3.950000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  4.050000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  4.150000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  4.250000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  4.350000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  4.450000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  4.550000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  4.650000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  4.750000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  4.850000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  4.950000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  5.050000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  5.150000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  5.250000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  5.350000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  5.450000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  5.550000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  5.650000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  5.750000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  5.850000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  5.950000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  6.050000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  6.150000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  6.250000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  6.350000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  6.450000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  6.550000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  6.650000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  6.750000000000000E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
  6.850000000000001E-002   1.00000000000000       0.000000000000000E+000   1.00000000000000     
